timestamp,lat,lon,head,velocity,,,,,,,
1443652913,30.148445,122.7511133,60,7.5,,,,,,,
1443653093,30.15175,122.75708,50,7.1,,,,,,,
1443653273,30.154805,122.763725,68,7.5,,,,,,,
1443653453,30.15838667,122.7700567,70,8.1,,,,,,,
1443653638,30.16213667,122.7764967,62,8.3,,,,,,,
1443653818,30.164555,122.784385,66,8.1,,,,,,,
1443653998,30.16786167,122.791915,50,8.3,,,,,,,
1443654178,30.17194333,122.7981933,58,7.7,,,,,,,
1443654358,30.175305,122.80519,50,7.1,,,,,,,
1443654544,30.17888667,122.8117217,72,8.7,,,,,,,
1443654724,30.1825,122.8183583,54,7.9,,,,,,,
1443654904,30.18688833,122.8233017,68,8.3,,,,,,,
1443655084,30.19061,122.8298867,64,8.3,,,,,,,
1443655264,30.19419333,122.83628,72,8.1,,,,,,,
1443655447,30.19758333,122.8429183,74,8.3,,,,,,,
1443655627,30.201305,122.8489983,54,8.3,,,,,,,
1443655807,30.20477833,122.855635,42,8.1,,,,,,,
1443655987,30.20833333,122.8621967,58,8.5,,,,,,,
1443656167,30.21144333,122.869415,60,7.7,,,,,,,
1443656476,30.215165,122.8760833,60,8.3,,,,,,,
1443656656,30.21897167,122.8827733,62,7.5,,,,,,,
1443656836,30.22344333,122.8883583,50,8.3,,,,,,,
1443657016,30.22825,122.89328,62,8.5,,,,,,,
1443657196,30.23313833,122.89833,46,7.5,,,,,,,
1443657372,30.238445,122.9024417,46,8.1,,,,,,,
1443657552,30.24336,122.9072183,44,7.7,,,,,,,
1443657732,30.24686,122.9141067,54,7.9,,,,,,,
1443657912,30.24983333,122.9214467,86,9.5,,,,,,,
1443658092,30.25308333,122.92858,66,9.5,,,,,,,
1443658161,30.25525,122.9366683,80,8.7,,,,,,,
1443658341,30.25722167,122.944725,68,8.3,,,,,,,
1443658521,30.25988833,122.9525517,62,7.9,,,,,,,
1443658701,30.263165,122.9599683,56,8.3,,,,,,,
1443658881,30.26611,122.96775,78,9.1,,,,,,,
1443659066,30.26925,122.9752183,66,8.5,,,,,,,
1443659246,30.27197167,122.9831083,68,9.3,,,,,,,
1443659426,30.27527667,122.9905533,64,9.1,,,,,,,
1443659606,30.27822167,122.9983583,72,8.3,,,,,,,
1443659786,30.281305,123.0061633,56,9.7,,,,,,,
1443659974,30.284165,123.01422,68,9.3,,,,,,,
1443660154,30.28722167,123.0220867,64,9.5,,,,,,,
1443660334,30.290445,123.029975,76,9.5,,,,,,,
1443660514,30.29352667,123.0379167,60,8.1,,,,,,,
1443660694,30.29677667,123.0456083,60,8.3,,,,,,,
1443660876,30.29930333,123.0537183,66,8.7,,,,,,,
1443661056,30.30197,123.061835,58,9.3,,,,,,,
1443661236,30.30511,123.0695267,52,8.3,,,,,,,
1443661416,30.308165,123.07711,74,8.9,,,,,,,
1443661596,30.31125,123.084525,70,8.7,,,,,,,
1443661781,30.31408167,123.0919717,70,7.9,,,,,,,
1443661961,30.31686,123.0994183,48,7.9,,,,,,,
1443662141,30.31997167,123.10694,70,8.7,,,,,,,
1443662321,30.32355333,123.1143333,66,8.5,,,,,,,
1443662501,30.32636,123.1222533,66,8.3,,,,,,,
1443662686,30.32969333,123.1300567,66,7.9,,,,,,,
1443662866,30.333415,123.13761,70,9.3,,,,,,,
1443663046,30.33636,123.14572,64,8.5,,,,,,,
1443663226,30.33975,123.1533583,68,8.5,,,,,,,
1443663406,30.34272167,123.161445,74,8.9,,,,,,,
1443663605,30.34536167,123.169525,82,8.9,,,,,,,
1443663785,30.34836167,123.1771383,76,8.5,,,,,,,
1443663965,30.35194333,123.1843017,62,8.7,,,,,,,
1443664145,30.35505333,123.1918017,84,8.9,,,,,,,
1443664325,30.35786,123.1993017,56,8.7,,,,,,,
1443664500,30.36108333,123.2066417,60,9.3,,,,,,,
1443664680,30.36497167,123.2136367,42,8.7,,,,,,,
1443664860,30.368415,123.221,52,8.5,,,,,,,
1443665040,30.37186,123.2283617,50,9.1,,,,,,,
1443665220,30.37527833,123.2357467,60,8.3,,,,,,,
1443665398,30.37877833,123.2428883,50,8.5,,,,,,,
1443665578,30.38199833,123.25019,72,8.1,,,,,,,
1443665758,30.38513833,123.25772,50,7.9,,,,,,,
1443665938,30.38847,123.2649683,46,9.1,,,,,,,
1443666118,30.39197,123.2721933,56,8.9,,,,,,,
1443666300,30.39758167,123.277725,26,9.9,,,,,,,
1443666480,30.40341667,123.2835533,52,8.9,,,,,,,
1443666660,30.40638833,123.2911133,50,9.1,,,,,,,
1443666840,30.4095,123.298835,66,8.5,,,,,,,
1443667020,30.41349833,123.3059683,48,8.9,,,,,,,
1443667203,30.41677833,123.312445,18,5,,,,,,,
1443667383,30.42138833,123.31272,358,5,,,,,,,
1443667563,30.42541667,123.3127733,6,5.4,,,,,,,
1443667743,30.42874833,123.3130033,354,4.4,,,,,,,
1443667923,30.43302667,123.3128883,10,3.8,,,,,,,
1443668107,30.43577667,123.3132467,354,3.1,,,,,,,
1443668287,30.43844333,123.3137733,346,3.1,,,,,,,
1443668467,30.44088833,123.31475,44,3.4,,,,,,,
1443668647,30.44325,123.3160017,62,4,,,,,,,
1443668827,30.44566667,123.317275,24,3.3,,,,,,,
1443669012,30.44802833,123.31861,20,2.9,,,,,,,
1443669192,30.45038667,123.32003,8,3.4,,,,,,,
1443669372,30.45258167,123.32164,36,2.9,,,,,,,
1443669552,30.45469333,123.3233017,24,3.4,,,,,,,
1443669732,30.45675,123.3250267,32,3.1,,,,,,,
1443669915,30.45874833,123.3267733,28,2.7,,,,,,,
1443670095,30.46075,123.3285817,22,2.9,,,,,,,
1443670275,30.46280333,123.33036,48,3.1,,,,,,,
1443670455,30.46488833,123.3321683,54,3.3,,,,,,,
1443670635,30.46697167,123.3338617,22,3.6,,,,,,,
1443670818,30.469055,123.3356083,42,2.9,,,,,,,
1443670998,30.47111,123.33747,36,3.3,,,,,,,
1443671178,30.47313833,123.3393017,44,2.7,,,,,,,
1443671358,30.474555,123.3406967,0,0,,,,,,,
1443671538,30.47713833,123.34317,40,3.1,,,,,,,
1443671724,30.47919333,123.3450533,12,3.4,,,,,,,
1443671904,30.48113667,123.3469683,42,2.9,,,,,,,
1443672084,30.48302833,123.3489683,38,3.1,,,,,,,
1443672264,30.48502667,123.35089,46,2.9,,,,,,,
1443672444,30.48697167,123.3528583,42,2.9,,,,,,,
1443672628,30.48888833,123.3548583,86,4,,,,,,,
1443672808,30.49061167,123.357025,50,2.5,,,,,,,
1443672988,30.492305,123.3592217,30,3.8,,,,,,,
1443673168,30.49391667,123.361525,70,2.5,,,,,,,
1443673348,30.4955,123.3638067,54,2.9,,,,,,,
1443673533,30.49699833,123.3661117,54,2.9,,,,,,,
1443673713,30.49847167,123.3684683,48,3.1,,,,,,,
1443673893,30.49988833,123.3708333,62,2.9,,,,,,,
1443674073,30.50130333,123.3731917,26,3.3,,,,,,,
1443674253,30.502665,123.37561,48,2.5,,,,,,,
1443674445,30.50344333,123.3770817,0,0.7,,,,,,,
1443674625,30.50369333,123.3771667,0,0,,,,,,,
1443674805,30.50416667,123.37844,76,2.5,,,,,,,
1443674985,30.50488833,123.3802483,36,1.9,,,,,,,
1443675165,30.50541667,123.3830783,88,2.1,,,,,,,
1443675343,30.50519333,123.385025,130,2.9,,,,,,,
1443675523,30.50891667,123.3897767,30,7.9,,,,,,,
1443675703,30.51463833,123.3927533,52,6.9,,,,,,,
1443675883,30.51986,123.39775,48,9.1,,,,,,,
1443676063,30.52491667,123.4031133,44,8.7,,,,,,,
1443676249,30.53061,123.4081417,28,8.3,,,,,,,
1443676429,30.53583333,123.414,46,9.3,,,,,,,
1443676609,30.53941667,123.4176933,0,0,,,,,,,
1443676789,30.54641667,123.4255283,42,8.9,,,,,,,
1443676969,30.55122167,123.431915,50,8.9,,,,,,,
1443677152,30.55624833,123.4381933,42,9.3,,,,,,,
1443677332,30.561695,123.443915,40,9.1,,,,,,,
1443677512,30.56708333,123.44953,40,8.3,,,,,,,
1443677692,30.57225,123.4553283,38,8.3,,,,,,,
1443677872,30.57608333,123.4625533,36,8.5,,,,,,,
1443678057,30.58002833,123.469695,60,8.1,,,,,,,
1443678237,30.58402667,123.476775,64,8.3,,,,,,,
1443678417,30.58774833,123.4842517,48,7.9,,,,,,,
1443678597,30.59183167,123.4913317,68,8.5,,,,,,,
1443678777,30.59688833,123.4963067,40,8.3,,,,,,,
1443678961,30.60219333,123.499305,18,4.4,,,,,,,
1443679141,30.60302667,123.5004417,116,4.4,,,,,,,
1443679321,30.60313667,123.5023567,62,6,,,,,,,
1443679501,30.603445,123.502975,230,1.7,,,,,,,
1443679681,30.60327667,123.5030283,0,0.7,,,,,,,
1443679866,30.60311,123.5030283,0,0.3,,,,,,,
1443680046,30.60288667,123.5030283,14,2.3,,,,,,,
1443680226,30.60288667,123.503135,186,2.5,,,,,,,
1443680406,30.60238833,123.5030817,346,1.1,,,,,,,
1443680586,30.60213833,123.5029983,0,0,,,,,,,
1443680770,30.60180333,123.50286,14,1.5,,,,,,,
1443680950,30.60163833,123.5028067,2,0.9,,,,,,,
1443681130,30.60152667,123.5027233,162,1.3,,,,,,,
1443681310,30.60144333,123.5026917,0,0.1,,,,,,,
1443681490,30.60138833,123.5026383,0,0.1,,,,,,,
1443681675,30.60127667,123.5026083,0,0.3,,,,,,,
1443681855,30.60141667,123.50267,0,0.3,,,,,,,
1443682035,30.601305,123.5026083,0,0.1,,,,,,,
1443682215,30.60124833,123.502585,0,0.3,,,,,,,
1443682395,30.60127667,123.5026083,0,0,,,,,,,
1443682580,30.60124833,123.5026083,0,0.7,,,,,,,
1443682760,30.60111,123.502525,30,1.5,,,,,,,
1443682940,30.60099833,123.5024183,192,1.5,,,,,,,
1443683120,30.60086,123.5023333,0,0.7,,,,,,,
1443683300,30.60094333,123.5023033,0,0.7,,,,,,,
1443683485,30.600915,123.50228,0,0,,,,,,,
1443683665,30.60099833,123.5023567,0,0,,,,,,,
1443683845,30.601055,123.5024183,46,1.3,,,,,,,
1443684025,30.60094333,123.5023033,216,0.9,,,,,,,
1443684205,30.60094333,123.50228,204,2.5,,,,,,,
1443684390,30.600915,123.50222,0,0.1,,,,,,,
1443684570,30.60097167,123.5023333,0,0.5,,,,,,,
1443684750,30.60094333,123.50228,0,0,,,,,,,
1443684930,30.60108333,123.50244,0,0.1,,,,,,,
1443685110,30.60108333,123.5023867,0,0,,,,,,,
1443685303,30.600915,123.50228,0,0.5,,,,,,,
1443685483,30.60088833,123.50222,0,0.1,,,,,,,
1443685663,30.60072,123.5020283,194,2.3,,,,,,,
1443685843,30.60072,123.5019983,192,1.5,,,,,,,
1443686023,30.60063833,123.501945,0,0,,,,,,,
1443686200,30.60058333,123.50186,0,0,,,,,,,
1443686380,30.60061,123.5018917,0,0.1,,,,,,,
1443686560,30.60058333,123.5018917,286,0.9,,,,,,,
1443686740,30.60058333,123.5019133,0,0.7,,,,,,,
1443686920,30.6005,123.5018067,222,2.5,,,,,,,
1443687105,30.60047,123.5017467,236,1.3,,,,,,,
1443687285,30.6005,123.5017767,186,0.9,,,,,,,
1443687465,30.6005,123.5017767,26,2.3,,,,,,,
1443687645,30.60047,123.5017467,196,1.5,,,,,,,
1443687825,30.600555,123.50186,0,0.5,,,,,,,
1443688010,30.60047,123.5017467,234,0.9,,,,,,,
1443688190,30.60038833,123.5016083,0,0.1,,,,,,,
1443688370,30.600305,123.5014717,0,0,,,,,,,
1443688550,30.60025,123.5013567,0,0.1,,,,,,,
1443688730,30.600305,123.5014417,0,0,,,,,,,
1443688972,30.60027667,123.5014417,0,0.1,,,,,,,
1443689152,30.60027667,123.5014183,0,0,,,,,,,
1443689332,30.60027667,123.5014183,34,0.9,,,,,,,
1443689512,30.60025,123.5013567,0,0.5,,,,,,,
1443689692,30.60019333,123.5012733,0,0.7,,,,,,,
1443689936,30.60027667,123.5014417,164,0.9,,,,,,,
1443690116,30.600305,123.5014717,10,0.9,,,,,,,
1443690296,30.60027667,123.5014417,0,0,,,,,,,
1443690476,30.600165,123.50125,76,1.5,,,,,,,
1443690656,30.60019333,123.5013033,0,0.5,,,,,,,
1443690843,30.60013833,123.5011967,0,0.3,,,,,,,
1443691023,30.60008167,123.5010283,0,0.1,,,,,,,
1443691203,30.60011,123.5011133,0,0.1,,,,,,,
1443691383,30.60011,123.5011133,214,2.3,,,,,,,
1443691563,30.60011,123.5011667,262,1.3,,,,,,,
1443691629,30.60011,123.5011367,58,0.9,,,,,,,
1443691809,30.600055,123.5009683,0,0,,,,,,,
1443691989,30.60002667,123.5009683,244,2.5,,,,,,,
1443692169,30.600055,123.5009683,64,3.3,,,,,,,
1443692349,30.600055,123.5009983,218,2.1,,,,,,,
1443692534,30.60002667,123.500945,252,1.1,,,,,,,
1443692714,30.60002667,123.500915,168,1.1,,,,,,,
1443692894,30.599945,123.5007767,258,1.3,,,,,,,
1443693074,30.599945,123.5007467,0,0,,,,,,,
1443693254,30.599945,123.5007233,68,2.3,,,,,,,
1443693439,30.59988833,123.5005567,260,1.5,,,,,,,
1443693619,30.599915,123.50061,0,0,,,,,,,
1443693799,30.599915,123.50064,0,0.1,,,,,,,
1443693979,30.599915,123.5006933,0,0.7,,,,,,,
1443694159,30.59986,123.5004417,236,2.1,,,,,,,
1443694344,30.59988833,123.5005783,230,2.5,,,,,,,
1443694524,30.59986,123.5005033,0,0,,,,,,,
1443694704,30.59986,123.5004717,244,0.9,,,,,,,
1443694884,30.59983167,123.500335,0,0,,,,,,,
1443695064,30.59983167,123.5003883,0,0.1,,,,,,,
1443695299,30.59983167,123.5003883,22,2.1,,,,,,,
1443695479,30.599805,123.500335,116,1.3,,,,,,,
1443695659,30.59983167,123.500305,0,0,,,,,,,
1443695839,30.599805,123.50022,0,0.1,,,,,,,
1443696019,30.59977667,123.50022,0,0.1,,,,,,,
1443696154,30.59977667,123.5001133,18,0.9,,,,,,,
1443696334,30.59975,123.50003,220,1.3,,,,,,,
1443696514,30.59975,123.50003,0,0.3,,,,,,,
1443696694,30.59977667,123.50003,0,0.3,,,,,,,
1443696874,30.59977667,123.499945,0,0.5,,,,,,,
1443697059,30.59975,123.4998317,246,1.3,,,,,,,
1443697239,30.59972167,123.4998317,0,0,,,,,,,
1443697419,30.59972167,123.499725,0,0.3,,,,,,,
1443697599,30.59975,123.499725,0,0.5,,,,,,,
1443697779,30.59975,123.4996933,0,0.3,,,,,,,
1443697964,30.59975,123.4996633,0,0.1,,,,,,,
1443698144,30.59972167,123.4994733,0,0.5,,,,,,,
1443698324,30.59972167,123.499305,0,0,,,,,,,
1443698504,30.59972167,123.4993883,0,0.3,,,,,,,
1443698684,30.59972167,123.4993583,76,2.5,,,,,,,
1443698869,30.59972167,123.499305,0,0,,,,,,,
1443699049,30.59972167,123.4992217,0,0.5,,,,,,,
1443699229,30.59972167,123.4990533,0,0.5,,,,,,,
1443699409,30.59975,123.499,0,0.3,,,,,,,
1443699589,30.59972167,123.4990533,0,0,,,,,,,
1443699773,30.59975,123.49897,0,0.1,,,,,,,
1443699953,30.59975,123.4989467,0,0.1,,,,,,,
1443700133,30.59972167,123.499,180,0.9,,,,,,,
1443700313,30.59975,123.498725,0,0,,,,,,,
1443700493,30.599805,123.4985267,0,0.5,,,,,,,
1443700798,30.59983167,123.4984117,254,2.3,,,,,,,
1443700978,30.59986,123.4983583,290,1.1,,,,,,,
1443701158,30.59983167,123.4983367,82,1.7,,,,,,,
1443701338,30.59986,123.4983367,0,0.5,,,,,,,
1443701518,30.59986,123.498305,0,0,,,,,,,
1443701583,30.599945,123.4980533,64,1.3,,,,,,,
1443701763,30.59997167,123.49797,0,0,,,,,,,
1443701943,30.59997167,123.497885,298,0.9,,,,,,,
1443702123,30.60002667,123.4977483,82,2.1,,,,,,,
1443702303,30.600055,123.497695,296,2.3,,,,,,,
1443702488,30.60008167,123.497665,0,0.3,,,,,,,
1443702668,30.60011,123.49758,334,1.1,,,,,,,
1443702848,30.60011,123.4975583,0,0.5,,,,,,,
1443703028,30.60013833,123.4974733,54,1.3,,,,,,,
1443703208,30.60013833,123.4974967,0,0.5,,,,,,,
1443703393,30.60013833,123.4975267,0,0.3,,,,,,,
1443703573,30.60019333,123.49739,0,0.7,,,,,,,
1443703753,30.60033333,123.4972217,0,0,,,,,,,
1443703933,30.600305,123.4972533,0,0.5,,,,,,,
1443704113,30.60033333,123.4971917,0,0.1,,,,,,,
1443704298,30.60038833,123.4971083,0,0.1,,,,,,,
1443704478,30.60044333,123.497,0,0.3,,,,,,,
1443704658,30.6005,123.4969467,0,0,,,,,,,
1443704838,30.60047,123.49697,0,0.1,,,,,,,
1443705018,30.6005,123.497,296,1.5,,,,,,,
1443705202,30.600555,123.4968867,0,0.7,,,,,,,
1443705382,30.60063833,123.4968017,298,1.1,,,,,,,
1443705562,30.60077833,123.496635,306,1.7,,,,,,,
1443705742,30.600805,123.4966117,292,2.9,,,,,,,
1443705922,30.60094333,123.496475,0,0,,,,,,,
1443706108,30.60099833,123.4964433,0,0,,,,,,,
1443706288,30.60108333,123.49639,338,1.5,,,,,,,
1443706468,30.601165,123.49636,0,0.3,,,,,,,
1443706648,30.60136,123.4962233,112,1.7,,,,,,,
1443706828,30.60138833,123.4962233,0,0.1,,,,,,,
1443707015,30.60141667,123.49617,294,1.3,,,,,,,
1443707195,30.60152667,123.4961083,280,1.5,,,,,,,
1443707375,30.60169333,123.496055,0,0.5,,,,,,,
1443707555,30.60172167,123.496025,0,0.5,,,,,,,
1443707735,30.60172167,123.496085,304,1.7,,,,,,,
1443707918,30.60188833,123.4960017,332,2.1,,,,,,,
1443708098,30.60197167,123.4959717,328,1.1,,,,,,,
1443708278,30.602055,123.4959167,0,0.3,,,,,,,
1443708458,30.60227667,123.4958867,0,0.5,,,,,,,
1443708638,30.60233167,123.4958333,0,0,,,,,,,
1443708848,30.60244333,123.4958033,0,0.3,,,,,,,
1443709028,30.60252667,123.4958033,0,0,,,,,,,
1443709208,30.60277667,123.49578,78,1.5,,,,,,,
1443709388,30.60288667,123.49575,350,1.7,,,,,,,
1443709568,30.602945,123.4958033,330,0.9,,,,,,,
1443709769,30.60313667,123.4958333,0,0.7,,,,,,,
1443709949,30.603165,123.4958033,320,1.1,,,,,,,
1443710129,30.603165,123.4958333,344,2.3,,,,,,,
1443710309,30.603165,123.4958333,158,3.6,,,,,,,
1443710489,30.60313667,123.4958633,0,0.1,,,,,,,
1443710644,30.603195,123.4958633,0,0.5,,,,,,,
1443710824,30.60322167,123.4958633,332,2.5,,,,,,,
1443711004,30.603305,123.4958633,0,0.1,,,,,,,
1443711184,30.603415,123.4958633,0,0,,,,,,,
1443711364,30.603445,123.4958867,0,0.5,,,,,,,
1443711536,30.60352667,123.49594,334,2.1,,,,,,,
1443711716,30.60369333,123.49594,150,1.1,,,,,,,
1443711896,30.60375,123.496025,0,0.1,,,,,,,
1443712076,30.60377667,123.4960017,0,0,,,,,,,
1443712256,30.603915,123.4960017,0,0,,,,,,,
1443712442,30.60386,123.496025,0,0.7,,,,,,,
1443712622,30.60394333,123.4961083,340,1.5,,,,,,,
1443712802,30.60402833,123.4961083,0,0.5,,,,,,,
1443712982,30.60411,123.496085,162,3.1,,,,,,,
1443713162,30.60422,123.4961083,156,0.9,,,,,,,
1443713346,30.60433333,123.4961383,346,2.7,,,,,,,
1443713526,30.60447167,123.496245,0,0,,,,,,,
1443713706,30.60444333,123.4963067,0,0.5,,,,,,,
1443713886,30.60452833,123.49636,152,1.9,,,,,,,
1443714066,30.60458333,123.4964133,170,1.9,,,,,,,
1443714253,30.60458333,123.49636,356,1.1,,,,,,,
1443714433,30.604665,123.49639,126,0.9,,,,,,,
